DATE,GBP6MTD156N
2015-01-02,0.68488
2015-01-05,0.68544
2015-01-06,0.68344
2015-01-07,0.68194
2015-01-08,0.6835
2015-01-09,0.6835
2015-01-12,0.68319
2015-01-13,0.68163
2015-01-14,0.68319
2015-01-15,0.68444
2015-01-16,0.685
2015-01-19,0.68625
2015-01-20,0.68781
2015-01-21,0.68563
2015-01-22,0.685
2015-01-23,0.67938
2015-01-26,0.68313
2015-01-27,0.68063
2015-01-28,0.6825
2015-01-29,0.68375
2015-01-30,0.6825
2015-02-02,0.6825
2015-02-03,0.6825
2015-02-04,0.68456
2015-02-05,0.68394
2015-02-06,0.68056
2015-02-09,0.68088
2015-02-10,0.68438
2015-02-11,0.68563
2015-02-12,0.68688
2015-02-13,0.68063
2015-02-16,0.68
2015-02-17,0.67563
2015-02-18,0.68125
2015-02-19,0.68063
2015-02-20,0.68125
2015-02-23,0.68094
2015-02-24,0.68156
2015-02-25,0.68063
2015-02-26,0.68094
2015-02-27,0.68344
2015-03-02,0.68375
2015-03-03,0.68406
2015-03-04,0.68438
2015-03-05,0.68469
2015-03-06,0.68481
2015-03-09,0.68575
2015-03-10,0.685
2015-03-11,0.68438
2015-03-12,0.68563
2015-03-13,0.68531
2015-03-16,0.68469
2015-03-17,0.68719
2015-03-18,0.68313
2015-03-19,0.68281
2015-03-20,0.6825
2015-03-23,0.67875
2015-03-24,0.6775
2015-03-25,0.6775
2015-03-26,0.6795
2015-03-27,0.68225
2015-03-30,0.6845
2015-03-31,0.68388
2015-04-01,0.6835
2015-04-02,0.68325
2015-04-03,.
2015-04-06,.
2015-04-07,0.6835
2015-04-08,0.68213
2015-04-09,0.68188
2015-04-10,0.68438
2015-04-13,0.68563
2015-04-14,0.69125
2015-04-15,0.6925
2015-04-16,0.69
2015-04-17,0.68938
2015-04-20,0.69338
2015-04-21,0.69263
2015-04-22,0.69625
2015-04-23,0.70188
2015-04-24,0.69875
2015-04-27,0.69813
2015-04-28,0.69688
2015-04-29,0.69938
2015-04-30,0.70113
2015-05-01,0.70113
2015-05-04,.
2015-05-05,0.70063
2015-05-06,0.70063
2015-05-07,0.70175
2015-05-08,0.70188
2015-05-11,0.70375
2015-05-12,0.70563
2015-05-13,0.703
2015-05-14,0.70175
2015-05-15,0.70675
2015-05-18,0.70675
2015-05-19,0.7085
2015-05-20,0.71038
2015-05-21,0.711
2015-05-22,0.71225
2015-05-25,.
2015-05-26,0.711
2015-05-27,0.70975
2015-05-28,0.70863
2015-05-29,0.70894
2015-06-01,0.70769
2015-06-02,0.71031
2015-06-03,0.71294
2015-06-04,0.71531
2015-06-05,0.71375
2015-06-08,0.71463
2015-06-09,0.71375
2015-06-10,0.71563
2015-06-11,0.71563
2015-06-12,0.71813
2015-06-15,0.72063
2015-06-16,0.7175
2015-06-17,0.72438
2015-06-18,0.725
2015-06-19,0.72563
2015-06-22,0.72563
2015-06-23,0.72844
2015-06-24,0.73594
2015-06-25,0.73813
2015-06-26,0.74094
2015-06-29,0.73594
2015-06-30,0.73631
2015-07-01,0.73275
2015-07-02,0.73625
2015-07-03,0.73563
2015-07-06,0.73063
2015-07-07,0.7295
2015-07-08,0.72813
2015-07-09,0.73219
2015-07-10,0.73313
2015-07-13,0.7375
2015-07-14,0.7425
2015-07-15,0.75063
2015-07-16,0.75313
2015-07-17,0.75406
2015-07-20,0.75344
2015-07-21,0.75125
2015-07-22,0.75469
2015-07-23,0.75488
2015-07-24,0.75338
2015-07-27,0.7525
2015-07-28,0.75156
2015-07-29,0.75094
2015-07-30,0.74969
2015-07-31,0.75125
2015-08-03,0.75063
2015-08-04,0.75031
2015-08-05,0.75563
2015-08-06,0.75563
2015-08-07,0.75188
2015-08-10,0.75125
2015-08-11,0.75125
2015-08-12,0.75063
2015-08-13,0.75
2015-08-14,0.75
2015-08-17,0.75125
2015-08-18,0.75188
2015-08-19,0.75188
2015-08-20,0.74875
2015-08-21,0.74813
2015-08-24,0.74875
2015-08-25,0.74875
2015-08-26,0.74938
2015-08-27,0.75188
2015-08-28,0.74813
2015-08-31,.
2015-09-01,0.74313
2015-09-02,0.74063
2015-09-03,0.74188
2015-09-04,0.74188
2015-09-07,0.74063
2015-09-08,0.74175
2015-09-09,0.74394
2015-09-10,0.74438
2015-09-11,0.75313
2015-09-14,0.75313
2015-09-15,0.75188
2015-09-16,0.76
2015-09-17,0.75825
2015-09-18,0.75125
2015-09-21,0.74875
2015-09-22,0.74625
2015-09-23,0.74375
2015-09-24,0.745
2015-09-25,0.75
2015-09-28,0.7525
2015-09-29,0.75125
2015-09-30,0.7475
2015-10-01,0.74625
2015-10-02,0.74688
2015-10-05,0.74563
2015-10-06,0.74938
2015-10-07,0.74813
2015-10-08,0.74813
2015-10-09,0.74813
2015-10-12,0.74813
2015-10-13,0.74625
2015-10-14,0.74625
2015-10-15,0.74625
2015-10-16,0.74625
2015-10-19,0.74625
2015-10-20,0.74625
2015-10-21,0.74625
2015-10-22,0.7425
2015-10-23,0.74125
2015-10-26,0.74125
2015-10-27,0.74
2015-10-28,0.7375
2015-10-29,0.74
2015-10-30,0.7325
2015-11-02,0.73688
2015-11-03,0.7375
2015-11-04,0.74313
2015-11-05,0.74281
2015-11-06,0.73
2015-11-09,0.73688
2015-11-10,0.73688
2015-11-11,0.73938
2015-11-12,0.74063
2015-11-13,0.73688
2015-11-16,0.73688
2015-11-17,0.73313
2015-11-18,0.73063
2015-11-19,0.732
2015-11-20,0.7295
2015-11-23,0.72825
2015-11-24,0.727
2015-11-25,0.727
2015-11-26,0.727
2015-11-27,0.727
2015-11-30,0.727
2015-12-01,0.72888
2015-12-02,0.72938
2015-12-03,0.73163
2015-12-04,0.73688
2015-12-07,0.74188
2015-12-08,0.738
2015-12-09,0.74138
2015-12-10,0.74
2015-12-11,0.74438
2015-12-14,0.74438
2015-12-15,0.74313
2015-12-16,0.74325
2015-12-17,0.74613
2015-12-18,0.74738
2015-12-21,0.74613
2015-12-22,0.74519
2015-12-23,0.7455
2015-12-24,0.74844
2015-12-25,.
2015-12-28,.
2015-12-29,0.74813
2015-12-30,0.75188
2015-12-31,0.75188
2016-01-01,.
2016-01-04,0.75025
2016-01-05,0.75025
2016-01-06,0.75088
2016-01-07,0.75025
2016-01-08,0.75025
2016-01-11,0.7515
2016-01-12,0.75063
2016-01-13,0.74938
2016-01-14,0.74813
2016-01-15,0.74813
2016-01-18,0.74563
2016-01-19,0.744
2016-01-20,0.74188
2016-01-21,0.74063
2016-01-22,0.73813
2016-01-25,0.7375
2016-01-26,0.73813
2016-01-27,0.73688
2016-01-28,0.73688
2016-01-29,0.73313
2016-02-01,0.7325
2016-02-02,0.73688
2016-02-03,0.74
2016-02-04,0.74
2016-02-05,0.743
2016-02-08,0.741
2016-02-09,0.74225
2016-02-10,0.736
2016-02-11,0.73563
2016-02-12,0.73
2016-02-15,0.73813
2016-02-16,0.73938
2016-02-17,0.73725
2016-02-18,0.73788
2016-02-19,0.73663
2016-02-22,0.73725
2016-02-23,0.73788
2016-02-24,0.736
2016-02-25,0.73413
2016-02-26,0.73288
2016-02-29,0.73725
2016-03-01,0.73288
2016-03-02,0.73288
2016-03-03,0.73625
2016-03-04,0.73788
2016-03-07,0.73913
2016-03-08,0.73913
2016-03-09,0.73913
2016-03-10,0.73913
2016-03-11,0.74788
2016-03-14,0.74663
2016-03-15,0.74663
