DATE,GBP2MTD156N
2015-01-02,0.52713
2015-01-05,0.52713
2015-01-06,0.52963
2015-01-07,0.52963
2015-01-08,0.52963
2015-01-09,0.52963
2015-01-12,0.52963
2015-01-13,0.529
2015-01-14,0.529
2015-01-15,0.529
2015-01-16,0.5265
2015-01-19,0.529
2015-01-20,0.52775
2015-01-21,0.52588
2015-01-22,0.52431
2015-01-23,0.52963
2015-01-26,0.53188
2015-01-27,0.529
2015-01-28,0.53088
2015-01-29,0.52963
2015-01-30,0.52963
2015-02-02,0.52963
2015-02-03,0.53369
2015-02-04,0.53463
2015-02-05,0.53338
2015-02-06,0.531
2015-02-09,0.52975
2015-02-10,0.52888
2015-02-11,0.52825
2015-02-12,0.52838
2015-02-13,0.52963
2015-02-16,0.53213
2015-02-17,0.53213
2015-02-18,0.5315
2015-02-19,0.53525
2015-02-20,0.534
2015-02-23,0.53525
2015-02-24,0.5315
2015-02-25,0.53275
2015-02-26,0.53275
2015-02-27,0.5315
2015-03-02,0.53119
2015-03-03,0.5315
2015-03-04,0.53431
2015-03-05,0.53494
2015-03-06,0.5315
2015-03-09,0.53181
2015-03-10,0.53463
2015-03-11,0.5315
2015-03-12,0.53525
2015-03-13,0.53525
2015-03-16,0.534
2015-03-17,0.53713
2015-03-18,0.53275
2015-03-19,0.53575
2015-03-20,0.53575
2015-03-23,0.5345
2015-03-24,0.5345
2015-03-25,0.53513
2015-03-26,0.53763
2015-03-27,0.538
2015-03-30,0.5425
2015-03-31,0.5425
2015-04-01,0.54088
2015-04-02,0.5405
2015-04-03,.
2015-04-06,.
2015-04-07,0.54063
2015-04-08,0.54425
2015-04-09,0.54388
2015-04-10,0.54338
2015-04-13,0.54213
2015-04-14,0.54275
2015-04-15,0.54275
2015-04-16,0.54025
2015-04-17,0.539
2015-04-20,0.53788
2015-04-21,0.54088
2015-04-22,0.54138
2015-04-23,0.54138
2015-04-24,0.54
2015-04-27,0.53838
2015-04-28,0.53838
2015-04-29,0.53838
2015-04-30,0.53838
2015-05-01,0.53838
2015-05-04,.
2015-05-05,0.53613
2015-05-06,0.53613
2015-05-07,0.536
2015-05-08,0.53738
2015-05-11,0.53738
2015-05-12,0.53738
2015-05-13,0.53538
2015-05-14,0.53538
2015-05-15,0.53538
2015-05-18,0.53538
2015-05-19,0.54063
2015-05-20,0.54063
2015-05-21,0.541
2015-05-22,0.541
2015-05-25,.
2015-05-26,0.53938
2015-05-27,0.541
2015-05-28,0.54113
2015-05-29,0.53863
2015-06-01,0.53738
2015-06-02,0.5365
2015-06-03,0.53663
2015-06-04,0.53713
2015-06-05,0.53388
2015-06-08,0.53475
2015-06-09,0.53388
2015-06-10,0.53513
2015-06-11,0.53513
2015-06-12,0.53638
2015-06-15,0.53638
2015-06-16,0.53763
2015-06-17,0.5395
2015-06-18,0.5395
2015-06-19,0.5395
2015-06-22,0.54125
2015-06-23,0.54125
2015-06-24,0.54281
2015-06-25,0.54231
2015-06-26,0.54688
2015-06-29,0.54688
2015-06-30,0.54563
2015-07-01,0.54125
2015-07-02,0.54125
2015-07-03,0.54013
2015-07-06,0.54013
2015-07-07,0.539
2015-07-08,0.53856
2015-07-09,0.54313
2015-07-10,0.54156
2015-07-13,0.54156
2015-07-14,0.54156
2015-07-15,0.54319
2015-07-16,0.54788
2015-07-17,0.54538
2015-07-20,0.54413
2015-07-21,0.54631
2015-07-22,0.54456
2015-07-23,0.54481
2015-07-24,0.54356
2015-07-27,0.54356
2015-07-28,0.54294
2015-07-29,0.54125
2015-07-30,0.5425
2015-07-31,0.54125
2015-08-03,0.54125
2015-08-04,0.54156
2015-08-05,0.54106
2015-08-06,0.54094
2015-08-07,0.5375
2015-08-10,0.537
2015-08-11,0.54263
2015-08-12,0.54263
2015-08-13,0.54513
2015-08-14,0.54263
2015-08-17,0.54313
2015-08-18,0.54313
2015-08-19,0.54313
2015-08-20,0.54188
2015-08-21,0.54188
2015-08-24,0.54475
2015-08-25,0.54475
2015-08-26,0.54475
2015-08-27,0.54725
2015-08-28,0.54663
2015-08-31,.
2015-09-01,0.54588
2015-09-02,0.54338
2015-09-03,0.5465
2015-09-04,0.54525
2015-09-07,0.5415
2015-09-08,0.54063
2015-09-09,0.54063
2015-09-10,0.5395
2015-09-11,0.53888
2015-09-14,0.53888
2015-09-15,0.54013
2015-09-16,0.542
2015-09-17,0.54075
2015-09-18,0.5395
2015-09-21,0.53888
2015-09-22,0.53888
2015-09-23,0.54013
2015-09-24,0.5455
2015-09-25,0.54175
2015-09-28,0.538
2015-09-29,0.53925
2015-09-30,0.538
2015-10-01,0.53925
2015-10-02,0.538
2015-10-05,0.538
2015-10-06,0.538
2015-10-07,0.538
2015-10-08,0.538
2015-10-09,0.53925
2015-10-12,0.53975
2015-10-13,0.53975
2015-10-14,0.5385
2015-10-15,0.5385
2015-10-16,0.5385
2015-10-19,0.5385
2015-10-20,0.53913
2015-10-21,0.53913
2015-10-22,0.53913
2015-10-23,0.53788
2015-10-26,0.53688
2015-10-27,0.53813
2015-10-28,0.54063
2015-10-29,0.54063
2015-10-30,0.53688
2015-11-02,0.5375
2015-11-03,0.53713
2015-11-04,0.53744
2015-11-05,0.53713
2015-11-06,0.5365
2015-11-09,0.5365
2015-11-10,0.53688
2015-11-11,0.53688
2015-11-12,0.53688
2015-11-13,0.53688
2015-11-16,0.53563
2015-11-17,0.5345
2015-11-18,0.53688
2015-11-19,0.53575
2015-11-20,0.53575
2015-11-23,0.53613
2015-11-24,0.53613
2015-11-25,0.53613
2015-11-26,0.53613
2015-11-27,0.53613
2015-11-30,0.53688
2015-12-01,0.53688
2015-12-02,0.53713
2015-12-03,0.53813
2015-12-04,0.539
2015-12-07,0.53975
2015-12-08,0.53963
2015-12-09,0.53988
2015-12-10,0.54238
2015-12-11,0.543
2015-12-14,0.54125
2015-12-15,0.54188
2015-12-16,0.53969
2015-12-17,0.54231
2015-12-18,0.54044
2015-12-21,0.54138
2015-12-22,0.54169
2015-12-23,0.54188
2015-12-24,0.54181
2015-12-25,.
2015-12-28,.
2015-12-29,0.54419
2015-12-30,0.54813
2015-12-31,0.54688
2016-01-01,.
2016-01-04,0.54438
2016-01-05,0.54625
2016-01-06,0.5475
2016-01-07,0.54763
2016-01-08,0.54888
2016-01-11,0.54888
2016-01-12,0.54888
2016-01-13,0.54763
2016-01-14,0.54888
2016-01-15,0.54763
2016-01-18,0.54763
2016-01-19,0.547
2016-01-20,0.547
2016-01-21,0.54688
2016-01-22,0.54813
2016-01-25,0.54688
2016-01-26,0.54688
2016-01-27,0.54938
2016-01-28,0.55063
2016-01-29,0.54938
2016-02-01,0.55063
2016-02-02,0.55188
2016-02-03,0.54813
2016-02-04,0.54813
2016-02-05,0.54938
2016-02-08,0.54813
2016-02-09,0.54688
2016-02-10,0.54688
2016-02-11,0.54688
2016-02-12,0.54813
2016-02-15,0.54688
2016-02-16,0.54813
2016-02-17,0.54938
2016-02-18,0.54813
2016-02-19,0.54938
2016-02-22,0.54938
2016-02-23,0.55
2016-02-24,0.55
2016-02-25,0.55
2016-02-26,0.54719
2016-02-29,0.5475
2016-03-01,0.54625
2016-03-02,0.54625
2016-03-03,0.5475
2016-03-04,0.5475
2016-03-07,0.5475
2016-03-08,0.54594
2016-03-09,0.54969
2016-03-10,0.54875
2016-03-11,0.54656
2016-03-14,0.54563
2016-03-15,0.54656
2016-03-16,0.54656
2016-03-17,0.54744
2016-03-18,0.54681
2016-03-21,0.5465
2016-03-22,0.54619
2016-03-23,0.54531
2016-03-24,0.54906
2016-03-25,.
2016-03-28,.
2016-03-29,0.55019
2016-03-30,0.55019
2016-03-31,0.54869
2016-04-01,0.54775
2016-04-04,0.55
2016-04-05,0.54963
2016-04-06,0.545
2016-04-07,0.54563
2016-04-08,0.54625
2016-04-11,0.545
2016-04-12,0.54769
2016-04-13,0.54894
2016-04-14,0.55013
2016-04-15,0.54981
2016-04-18,0.54494
2016-04-19,0.54494
2016-04-20,0.54619
2016-04-21,0.54744
2016-04-22,0.55144
2016-04-25,0.5545
2016-04-26,0.552
2016-04-27,0.54825
2016-04-28,0.54825
2016-04-29,0.54825
2016-05-02,.
2016-05-03,0.54675
2016-05-04,0.55375
2016-05-05,0.55425
2016-05-06,0.55269
2016-05-09,0.55269
2016-05-10,0.55306
2016-05-11,0.55394
2016-05-12,0.55425
2016-05-13,0.55088
2016-05-16,0.54931
2016-05-17,0.54931
2016-05-18,0.54963
2016-05-19,0.55431
2016-05-20,0.55025
2016-05-23,0.54994
2016-05-24,0.54994
2016-05-25,0.54994
2016-05-26,0.5515
2016-05-27,0.54963
2016-05-30,.
2016-05-31,0.54769
2016-06-01,0.54613
2016-06-02,0.5465
2016-06-03,0.54869
2016-06-06,0.5425
2016-06-07,0.54369
2016-06-08,0.53931
2016-06-09,0.54431
2016-06-10,0.53931
2016-06-13,0.53919
2016-06-14,0.53919
2016-06-15,0.53606
2016-06-16,0.53481
2016-06-17,0.537
2016-06-20,0.5395
2016-06-21,0.53919
2016-06-22,0.53731
2016-06-23,0.542
2016-06-24,0.52488
2016-06-27,0.51988
2016-06-28,0.52363
2016-06-29,0.53175
2016-06-30,0.52988
2016-07-01,0.50525
2016-07-04,0.50088
2016-07-05,0.4965
2016-07-06,0.49775
2016-07-07,0.4915
2016-07-08,0.4915
2016-07-11,0.4725
2016-07-12,0.47025
2016-07-13,0.46744
2016-07-14,0.45963
2016-07-15,0.509
2016-07-18,0.505
2016-07-19,0.50388
2016-07-20,0.50388
2016-07-21,0.50413
2016-07-22,0.50038
2016-07-25,0.49725
2016-07-26,0.48625
2016-07-27,0.482
2016-07-28,0.46963
2016-07-29,0.46056
2016-08-01,0.45525
2016-08-02,0.45513
2016-08-03,0.44731
2016-08-04,0.43469
2016-08-05,0.36213
2016-08-08,0.35006
2016-08-09,0.34006
2016-08-10,0.336
2016-08-11,0.3385
2016-08-12,0.33475
2016-08-15,0.33225
2016-08-16,0.33438
2016-08-17,0.3335
2016-08-18,0.33881
2016-08-19,0.33631
2016-08-22,0.33419
2016-08-23,0.33169
2016-08-24,0.33263
2016-08-25,0.33263
2016-08-26,0.33794
2016-08-29,.
2016-08-30,0.33856
2016-08-31,0.33856
2016-09-01,0.33763
2016-09-02,0.33675
2016-09-05,0.336
2016-09-06,0.32888
2016-09-07,0.3285
2016-09-08,0.32569
2016-09-09,0.32694
2016-09-12,0.32569
2016-09-13,0.32538
2016-09-14,0.32631
2016-09-15,0.33006
2016-09-16,0.32475
2016-09-19,0.3235
2016-09-20,0.326
2016-09-21,0.32506
2016-09-22,0.32425
2016-09-23,0.32444
2016-09-26,0.32413
2016-09-27,0.32288
2016-09-28,0.32314
2016-09-29,0.32588
2016-09-30,0.3285
2016-10-03,0.3285
2016-10-04,0.3285
2016-10-05,0.3285
2016-10-06,0.32963
2016-10-07,0.32963
2016-10-10,0.33138
2016-10-11,0.33175
2016-10-12,0.33175
2016-10-13,0.333
2016-10-14,0.33425
2016-10-17,0.33263
2016-10-18,0.33313
2016-10-19,0.33538
2016-10-20,0.33288
2016-10-21,0.33263
2016-10-24,0.332
2016-10-25,0.33138
2016-10-26,0.33075
2016-10-27,0.3335
2016-10-28,0.3335
2016-10-31,0.33288
2016-11-01,0.33163
2016-11-02,0.32888
2016-11-03,0.32863
2016-11-04,0.33238
2016-11-07,0.333
2016-11-08,0.33138
2016-11-09,0.33175
2016-11-10,0.33063
2016-11-11,0.33213
2016-11-14,0.32881
2016-11-15,0.32931
2016-11-16,0.33119
2016-11-17,0.33019
2016-11-18,0.33056
2016-11-21,0.32775
2016-11-22,0.32588
2016-11-23,0.32713
2016-11-24,0.32588
2016-11-25,0.32588
2016-11-28,0.32463
2016-11-29,0.32563
2016-11-30,0.32438
2016-12-01,0.325
2016-12-02,0.32438
2016-12-05,0.32438
2016-12-06,0.32625
2016-12-07,0.32625
2016-12-08,0.32563
2016-12-09,0.32563
2016-12-12,0.3225
2016-12-13,0.32125
2016-12-14,0.32125
2016-12-15,0.32
2016-12-16,0.32125
2016-12-19,0.32
2016-12-20,0.31788
2016-12-21,0.31563
2016-12-22,0.31719
2016-12-23,0.31625
2016-12-26,.
2016-12-27,.
2016-12-28,0.31875
2016-12-29,0.3225
2016-12-30,0.32188
2017-01-02,.
2017-01-03,0.31688
2017-01-04,0.31688
2017-01-05,0.31625
2017-01-06,0.31775
2017-01-09,0.3165
2017-01-10,0.31838
2017-01-11,0.319
