DATE,GBP3MTD156N
2016-01-14,0.58938
2016-01-15,0.59063
2016-01-18,0.58938
2016-01-19,0.58938
2016-01-20,0.58975
2016-01-21,0.59063
2016-01-22,0.59188
2016-01-25,0.58938
2016-01-26,0.58938
2016-01-27,0.58938
2016-01-28,0.58938
2016-01-29,0.58938
2016-02-01,0.58938
2016-02-02,0.59125
2016-02-03,0.59094
2016-02-04,0.59031
2016-02-05,0.59094
2016-02-08,0.59044
2016-02-09,0.58906
2016-02-10,0.59138
2016-02-11,0.591
2016-02-12,0.58975
2016-02-15,0.59288
2016-02-16,0.59288
2016-02-17,0.59063
2016-02-18,0.59094
2016-02-19,0.59063
2016-02-22,0.59
2016-02-23,0.59063
2016-02-24,0.59063
2016-02-25,0.59031
2016-02-26,0.59
2016-02-29,0.59125
2016-03-01,0.58844
2016-03-02,0.58719
2016-03-03,0.58806
2016-03-04,0.58844
2016-03-07,0.58469
2016-03-08,0.58438
2016-03-09,0.58688
2016-03-10,0.59063
2016-03-11,0.59063
2016-03-14,0.59063
2016-03-15,0.59125
2016-03-16,0.59125
2016-03-17,0.58875
2016-03-18,0.58875
2016-03-21,0.58844
2016-03-22,0.58813
2016-03-23,0.58688
2016-03-24,0.58813
2016-03-25,.
2016-03-28,.
2016-03-29,0.58688
2016-03-30,0.58688
2016-03-31,0.58813
2016-04-01,0.5875
2016-04-04,0.5875
2016-04-05,0.58938
2016-04-06,0.58813
2016-04-07,0.58913
2016-04-08,0.58938
2016-04-11,0.58781
2016-04-12,0.5875
2016-04-13,0.58781
2016-04-14,0.58813
2016-04-15,0.58781
2016-04-18,0.58781
2016-04-19,0.58781
2016-04-20,0.58813
2016-04-21,0.5875
2016-04-22,0.58969
2016-04-25,0.59113
2016-04-26,0.59113
2016-04-27,0.59088
2016-04-28,0.59213
2016-04-29,0.59056
2016-05-02,.
2016-05-03,0.58963
2016-05-04,0.589
2016-05-05,0.589
2016-05-06,0.58775
2016-05-09,0.58763
2016-05-10,0.59231
2016-05-11,0.59075
2016-05-12,0.59013
2016-05-13,0.59044
2016-05-16,0.59075
2016-05-17,0.587
2016-05-18,0.58731
2016-05-19,0.58981
2016-05-20,0.58919
2016-05-23,0.58919
2016-05-24,0.5895
2016-05-25,0.58919
2016-05-26,0.58919
2016-05-27,0.58888
2016-05-30,.
2016-05-31,0.58819
2016-06-01,0.58756
2016-06-02,0.58731
2016-06-03,0.58575
2016-06-06,0.58206
2016-06-07,0.58144
2016-06-08,0.57706
2016-06-09,0.5755
2016-06-10,0.57519
2016-06-13,0.57431
2016-06-14,0.57219
2016-06-15,0.57188
2016-06-16,0.5725
2016-06-17,0.57906
2016-06-20,0.58625
2016-06-21,0.58781
2016-06-22,0.58281
2016-06-23,0.58656
2016-06-24,0.56
2016-06-27,0.54838
2016-06-28,0.55313
2016-06-29,0.55775
2016-06-30,0.55838
2016-07-01,0.5225
2016-07-04,0.51625
2016-07-05,0.51125
2016-07-06,0.52
2016-07-07,0.51875
2016-07-08,0.515
2016-07-11,0.50219
2016-07-12,0.50094
2016-07-13,0.50188
2016-07-14,0.4935
2016-07-15,0.5275
2016-07-18,0.52313
2016-07-19,0.52575
2016-07-20,0.52325
2016-07-21,0.526
2016-07-22,0.5235
2016-07-25,0.5235
2016-07-26,0.51113
2016-07-27,0.50763
